DATE,Unemployment Rate,Consumer Price Index,Industrial Production,Federal Funds Rate,Gross Domestic Product,Personal Consumption Expenditures,S&P 500 Index
2015-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-02-01,96.49122807017544,100.25346436802174,99.36211175350684,100.0,100.0,100.41353476924098,100.0
2015-03-01,94.73684210526316,100.5235423668886,99.02191117428058,100.0,100.0,100.90662732975875,100.0
2015-04-01,94.73684210526316,100.62833603837322,98.47576131675233,109.09090909090908,101.19719131294889,101.18010723727282,100.0
2015-05-01,98.24561403508771,100.96018266474118,98.03020265136591,109.09090909090908,101.19719131294889,101.72955323327835,100.0
2015-06-01,92.98245614035086,101.23963245536684,97.72988832821136,118.18181818181819,101.19719131294889,101.99888950583009,97.89882271435285
2015-07-01,91.22807017543859,101.40023088686969,98.34326111975314,118.18181818181819,101.87171067181835,102.4712638915362,99.83154518148042
2015-08-01,89.4736842105263,101.3998048963352,98.1751551429436,127.2727272727273,101.87171067181835,102.73065544017834,93.58400675717358
2015-09-01,87.71929824561403,101.17189996038287,97.89935627474043,127.2727272727273,101.87171067181835,102.64944019491658,91.10938174709
2015-10-01,87.71929824561403,101.2720077359881,97.43560558524325,109.09090909090908,102.05722813078219,102.71988198927626,98.66991871461856
2015-11-01,89.4736842105263,101.39298904778336,96.73545586585766,109.09090909090908,102.05722813078219,102.9544117281444,98.71974337925111
2015-12-01,87.71929824561403,101.28393547095382,96.259252881782,218.18181818181816,102.05722813078219,103.19308510197484,96.98916669434703
2016-01-01,84.21052631578947,101.23750250269438,96.73788795464252,309.0909090909091,102.55987631209827,103.40855412001623,92.06838791111281
2016-02-01,85.96491228070175,101.10288949379544,96.23600211299873,345.45454545454544,102.55987631209827,104.04253026925339,91.68829689805874
2016-03-01,87.71929824561403,101.41982645145625,95.49693897305538,327.27272727272725,102.55987631209827,103.89750304557168,97.7389092669131
2016-04-01,89.4736842105263,101.80832981891142,95.80240932443385,336.3636363636364,103.58829661690139,104.51490465495952,98.00274272915789
2016-05-01,84.21052631578947,102.04901447089844,95.58585613902989,336.3636363636364,103.58829661690139,104.85634017585588,99.5050749979833
2016-06-01,85.96491228070175,102.33229817633452,96.04950954497565,345.45454545454544,103.58829661690139,105.50689086494236,99.59523391493744
2016-07-01,84.21052631578947,102.28075332166118,96.16012094291109,354.54545454545456,104.58996688852993,105.71821624802142,103.14180099554426
2016-08-01,85.96491228070175,102.46989311897488,96.06040530273182,363.6363636363637,104.58996688852993,105.97843652365601,103.01605303242398
2016-09-01,87.71929824561403,102.73869314623826,95.9752821952617,363.6363636363637,104.58996688852993,106.46324181424913,102.8888815074571
2016-10-01,85.96491228070175,102.97937779822533,96.04192142796688,363.6363636363637,105.679122833639,106.63230212071238,100.89020067476832
2016-11-01,82.45614035087719,103.10078510055507,95.67282763397648,372.7272727272727,105.679122833639,106.84777113875374,104.3380674673411
2016-12-01,82.45614035087719,103.36106531712865,96.35021300233578,490.90909090909093,105.679122833639,107.78340391324886,106.23709897076479
2017-01-01,82.45614035087719,103.77896203146366,96.13151957880113,590.9090909090909,106.73486891736384,108.26240811489471,108.13707951541956
2017-02-01,80.7017543859649,103.94424635884589,95.76164751639958,600.0,106.73486891736384,108.46710368203402,112.15959077342114
2017-03-01,77.19298245614036,103.895683437914,96.3585793877557,718.1818181818182,106.73486891736384,108.89389808315445,112.11593487679072
2017-04-01,77.19298245614036,104.02390658879558,97.32402135179386,818.1818181818181,107.61265420505595,109.13671509194727,113.13520515898814
2017-05-01,77.19298245614036,103.94339437777691,97.40807434019864,827.2727272727274,107.61265420505595,109.15909072074386,114.44488205790103
2017-06-01,75.43859649122805,104.01112687276088,97.61139696261296,945.4545454545455,107.61265420505595,109.60080220772869,114.9958004925524
2017-07-01,75.43859649122805,104.0452061155201,97.36770166636995,1045.4545454545453,109.01853674329087,109.91654719185857,117.22082765885766
2017-08-01,77.19298245614036,104.445637217941,96.92583977593652,1054.5454545454545,109.01853674329087,110.17593874050071,117.28488794195664
